session,method,r2,axis,movement,timeLag,trainCount
indy_20160407_02_64ms,channelbase,0.59793,x,velocity,5,3000
indy_20160411_01_64ms,channelbase,0.68043834,x,velocity,5,3000
indy_20160411_02_64ms,channelbase,0.66506124,x,velocity,5,3000
indy_20160418_01_64ms,channelbase,0.6280228,x,velocity,5,3000
indy_20160419_01_64ms,channelbase,0.6699755,x,velocity,5,3000
indy_20160420_01_64ms,channelbase,0.6859268,x,velocity,5,3000
indy_20160426_01_64ms,channelbase,0.64613205,x,velocity,5,3000
indy_20160622_01_64ms,channelbase,0.39144015,x,velocity,5,3000
indy_20160627_01_64ms,channelbase,0.57862353,x,velocity,5,3000
indy_20160630_01_64ms,channelbase,0.54294,x,velocity,5,3000
indy_20161011_03_64ms,channelbase,0.67238927,x,velocity,5,3000
indy_20161013_03_64ms,channelbase,0.61308086,x,velocity,5,3000
indy_20161014_04_64ms,channelbase,0.49759847,x,velocity,5,3000
indy_20161027_03_64ms,channelbase,0.69630706,x,velocity,5,3000
indy_20161206_02_64ms,channelbase,0.4028989,x,velocity,5,3000
indy_20161212_02_64ms,channelbase,0.7097732,x,velocity,5,3000
indy_20170131_02_64ms,channelbase,0.6463212,x,velocity,5,3000
indy_20160407_02_64ms,channelbase,0.5950612,x,velocity,5,3000
indy_20160411_01_64ms,channelbase,0.6919093,x,velocity,5,3000
indy_20160411_02_64ms,channelbase,0.66002584,x,velocity,5,3000
indy_20160418_01_64ms,channelbase,0.638155,x,velocity,5,3000
indy_20160419_01_64ms,channelbase,0.5918057,x,velocity,5,3000
indy_20160420_01_64ms,channelbase,0.6887659,x,velocity,5,3000
indy_20160426_01_64ms,channelbase,0.656165,x,velocity,5,3000
indy_20160622_01_64ms,channelbase,0.43114322,x,velocity,5,3000
indy_20160627_01_64ms,channelbase,0.54179156,x,velocity,5,3000
indy_20160630_01_64ms,channelbase,0.5565668,x,velocity,5,3000
indy_20161011_03_64ms,channelbase,0.68208563,x,velocity,5,3000
indy_20161013_03_64ms,channelbase,0.6312124,x,velocity,5,3000
indy_20161014_04_64ms,channelbase,0.5233364,x,velocity,5,3000
indy_20161027_03_64ms,channelbase,0.70136887,x,velocity,5,3000
indy_20161206_02_64ms,channelbase,0.39571148,x,velocity,5,3000
indy_20161212_02_64ms,channelbase,0.7038957,x,velocity,5,3000
indy_20170131_02_64ms,channelbase,0.6441981,x,velocity,5,3000
indy_20160407_02_64ms,channelbase,0.5800632,x,velocity,5,3000
indy_20160411_01_64ms,channelbase,0.6715475,x,velocity,5,3000
indy_20160411_02_64ms,channelbase,0.6598022,x,velocity,5,3000
indy_20160418_01_64ms,channelbase,0.63887566,x,velocity,5,3000
indy_20160419_01_64ms,channelbase,0.66429555,x,velocity,5,3000
indy_20160420_01_64ms,channelbase,0.6908281,x,velocity,5,3000
