session,method,r2,axis,movement,timeLag,trainCount
monkey_N_64ms,channelbase,0.6385219,x,velocity,10,1031
monkey_N_64ms,channelbase,0.56550455,x,velocity,10,1178
monkey_N_64ms,channelbase,0.5529312,x,velocity,10,1325
monkey_N_64ms,channelbase,0.4791525,x,velocity,15,1031
monkey_N_64ms,channelbase,0.45726597,x,velocity,15,1178
monkey_N_64ms,channelbase,0.48377204,x,velocity,15,1325
monkey_N_64ms,channelbase,0.5775213,x,velocity,20,1031
monkey_N_64ms,channelbase,0.48509187,x,velocity,20,1178
monkey_N_64ms,channelbase,0.48061693,x,velocity,20,1325
monkey_N_64ms,channelbase,0.61108935,x,velocity,10,1031
monkey_N_64ms,channelbase,0.6241038,x,velocity,10,1178
monkey_N_64ms,channelbase,0.5191066,x,velocity,10,1325
monkey_N_64ms,channelbase,0.6346023,x,velocity,15,1031
monkey_N_64ms,channelbase,0.5538269,x,velocity,15,1178
monkey_N_64ms,channelbase,0.6386496,x,velocity,15,1325
monkey_N_64ms,channelbase,0.32841152,x,velocity,20,1031
monkey_N_64ms,channelbase,0.5595535,x,velocity,20,1178
monkey_N_64ms,channelbase,0.60652995,x,velocity,20,1325
monkey_N_64ms,channelbase,0.55869955,x,velocity,10,1031
monkey_N_64ms,channelbase,0.6795651,x,velocity,10,1178
monkey_N_64ms,channelbase,0.6014482,x,velocity,10,1325
monkey_N_64ms,channelbase,0.4682551,x,velocity,15,1031
monkey_N_64ms,channelbase,0.6437158,x,velocity,15,1178
monkey_N_64ms,channelbase,0.571434,x,velocity,15,1325
monkey_N_64ms,channelbase,0.27673352,x,velocity,20,1031
monkey_N_64ms,channelbase,0.42265695,x,velocity,20,1178
monkey_N_64ms,channelbase,0.6037001,x,velocity,20,1325
monkey_N_64ms,channelbase,0.58461773,x,velocity,10,1031
monkey_N_64ms,channelbase,0.5180294,x,velocity,10,1178
monkey_N_64ms,channelbase,0.6401985,x,velocity,10,1325
monkey_N_64ms,channelbase,0.317204,x,velocity,15,1031
monkey_N_64ms,channelbase,0.3152222,x,velocity,15,1178
monkey_N_64ms,channelbase,0.525118,x,velocity,15,1325
monkey_N_64ms,channelbase,0.22705626,x,velocity,20,1031
monkey_N_64ms,channelbase,0.5721394,x,velocity,20,1178
monkey_N_64ms,channelbase,0.5984454,x,velocity,20,1325
monkey_N_64ms,channelbase,0.5907612,x,velocity,10,1031
monkey_N_64ms,channelbase,0.5548239,x,velocity,10,1178
monkey_N_64ms,channelbase,0.6720402,x,velocity,10,1325
monkey_N_64ms,channelbase,0.44792908,x,velocity,15,1031
monkey_N_64ms,channelbase,0.5019249,x,velocity,15,1178
monkey_N_64ms,channelbase,0.44376796,x,velocity,15,1325
monkey_N_64ms,channelbase,0.6684074,x,velocity,20,1031
monkey_N_64ms,channelbase,0.6503011,x,velocity,20,1178
monkey_N_64ms,channelbase,0.61250377,x,velocity,20,1325
